designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Supply Chain Data Analyst,Emerson,"10,001+ employees","1,135,484 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Industrial Machinery Manufacturing 10,001+ employees 46,113 on LinkedIn"
Data Analyst,Super Scholar,11-50 employees,"28,803 followers","On-site
Matches your job preferences, workplace type is On-site.",Mumbai Metropolitan Region · 2 months ago · Over 100 applicants,Mumbai Metropolitan Region,Education Administration Programs 11-50 employees 58 on LinkedIn
"Associate Data Analyst, Proximic","Comscore, Inc.","1,001-5,000 employees","71,106 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Software Development 1,001-5,000 employees 1,061 on LinkedIn"
Senior Data Analyst - Data Engineering/Analytics,Exusia,201-500 employees,"28,584 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 5 months ago · Over 100 applicants","Bengaluru, Karnataka, India",Business Consulting and Services 201-500 employees 418 on LinkedIn
Reference Data Analyst,DWS Group,"1,001-5,000 employees","146,069 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 2 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Financial Services 1,001-5,000 employees 3,760 on LinkedIn"
Senior Data Analyst - Data Engineering/Analytics,Exusia,201-500 employees,"28,584 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 5 months ago · Over 100 applicants","Bengaluru, Karnataka, India",Business Consulting and Services 201-500 employees 418 on LinkedIn
Remote Data Science Analyst,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Mumbai Metropolitan Region · Reposted 3 weeks ago · Over 100 applicants,Mumbai Metropolitan Region,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Remote Data Science Analyst,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Kolkata Area · 4 months ago · 43 applicants,Greater Kolkata Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Data Analyst with Axiom/SQL/Python or scripting language experience-BFS026419,Genpact,"10,001+ employees","4,058,951 followers","Full-time
Matches your job preferences, job type is Full-time.",Mumbai Metropolitan Region · Reposted 3 weeks ago · Over 100 applicants,Mumbai Metropolitan Region,"Business Consulting and Services 10,001+ employees 144,224 on LinkedIn"
Business Intelligence Consultant,Cactus Communications,"1,001-5,000 employees","550,656 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · Reposted 6 days ago · Over 100 applicants","Delhi, India","Software Development 1,001-5,000 employees 2,713 on LinkedIn"
Payments Marketing – Data Engineer / Visualization – Associate,JPMorgan Chase & Co.,"10,001+ employees","5,103,540 followers",NA,"Mumbai, Maharashtra, India · Reposted 2 days ago · Over 100 applicants","Mumbai, Maharashtra, India","Financial Services 10,001+ employees 300,317 on LinkedIn"
Data Ingestion Engineer,Barclays,"10,001+ employees","1,766,443 followers",Mid-Senior level,"Pune, Maharashtra, India · 2 weeks ago · 72 applicants","Pune, Maharashtra, India","Financial Services 10,001+ employees 71,400 on LinkedIn"
Python Developer,ESSENWARE PRIVATE LIMITED,51-200 employees,"111,713 followers",Mid-Senior level,"Pune, Maharashtra, India · 2 months ago · 98 applicants","Pune, Maharashtra, India",Information Technology & Services 51-200 employees 33 on LinkedIn
Biostatistician,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.",India · 2 weeks ago · Over 100 applicants,India,NA
BI Analyst - Team Lead,EPAM Systems,"10,001+ employees","1,400,912 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 55,553 on LinkedIn"
TADS Governance Data Analyst,Barclays,"10,001+ employees","1,766,443 followers",Mid-Senior level,"Pune, Maharashtra, India · 1 month ago · Over 100 applicants","Pune, Maharashtra, India","Financial Services 10,001+ employees 71,400 on LinkedIn"
Remote Data Science Analyst (Python),Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Bengaluru Area · Reposted 8 hours ago · Over 100 applicants,Greater Bengaluru Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Remote Python Developer,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Chennai Area · 1 month ago · 7 applicants,Greater Chennai Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Package Consultant: Adobe Marketing & Analytics,IBM,"10,001+ employees","16,612,657 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 5 days ago · 28 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 308,788 on LinkedIn"
Senior Data Analyst,Tacnique,51-200 employees,"5,216 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 1 week ago · Over 100 applicants,India,"Technology, Information and Internet 51-200 employees 22 on LinkedIn"
Client Insights Analyst,"Comscore, Inc.","1,001-5,000 employees","71,106 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 weeks ago · Over 100 applicants,India,"Software Development 1,001-5,000 employees 1,061 on LinkedIn"
Senior Data Analyst,IDFC FIRST Bank,"10,001+ employees","1,273,826 followers","Full-time
Matches your job preferences, job type is Full-time.",Mumbai Metropolitan Region · Reposted 3 weeks ago · Over 100 applicants,Mumbai Metropolitan Region,"Banking 10,001+ employees 37,803 on LinkedIn"
VP - Data Engineering Group - Lead Data Engineer,TresVista,"1,001-5,000 employees","102,758 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Financial Services 1,001-5,000 employees 156 on LinkedIn"
Data Analytics Senior Analyst - C12 - PUNE,Citi,"10,001+ employees","4,302,197 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 6 hours ago · Over 100 applicants","Pune, Maharashtra, India","Financial Services 10,001+ employees 188,004 on LinkedIn"
Lead Analyst - Analytics Delivery,Infosys BPM,"10,001+ employees","1,460,064 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 4 days ago · Over 100 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 37,635 on LinkedIn"
Equity Quant Researcher Analyst,Nomura,"10,001+ employees","500,853 followers","Full-time
Matches your job preferences, job type is Full-time.","Mumbai, Maharashtra, India · 4 weeks ago · Over 100 applicants","Mumbai, Maharashtra, India","Financial Services 10,001+ employees 14,661 on LinkedIn"
